DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

Gehomogeniseerde reeks van maandtemperaturen van De Bilt (1901-heden)
Homogenized monthly temperature time series of De Bilt (1901-present)
version 1, February 2007 (for research purposes only)

Er zijn correcties aangebracht voor de volgende inhomogeniteiten:
1 - verplaatsing gecombineerd met veranderind van hut (september 1950) /
              relocation combined with a transition of the hut (September 1950).
2 - verplaatsing van de Stevenson hut (augustus 1951) /
              relocation of the Stevenson screen (August 1951).
3 - verlaging van de Stevenson hut van 2.2 m naar 1.5 m (juni 1961) /
              lowering of Stevenson screen from 2.2 m to 1.5 m (June 1961).
4 - overgang van de kunstmatig geventileerde Stevenson hut naar KNMI schotelhut(juni 1993) /
           transition of artificial ventilated Stevenson screen to KNMI round-plated screen  
5 - temperatuurstijging van 0.11°C per eeuw door stadswarmte /
           warming trend of 0.11°C per century caused by urban warming

STN      = station number /  (260=De Bilt) 
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
TG_hom   = Gehomogeniseerde maandtemperaturen (Celsius) / Homogenized monthly temperature (Celsius)
260 20050930   15.601
260 20051031   13.226
260 20051130    6.734
260 20051231    3.862
260 20060131    1.348
260 20060228    2.773
260 20060331    3.816
260 20060430    8.867
260 20060531    14.38
260 20060630    16.56
260 20060731   22.193
260 20060831   16.238
260 20060930     17.8
260 20061031   13.461
260 20061130     9.04
260 20061231    6.389
260 20070131    6.977
260 20070228    5.919
260 20070331    7.848
260 20070430    12.94
260 20070531   14.006
260 20070630    17.36
260 20070731   16.893
260 20070831   16.993
260 20070930    13.67
260 20071031    9.951
260 20071130    6.793
260 20071231     3.66
260 20080131    6.386
260 20080229    5.021
260 20080331    5.783
260 20080430     8.81
260 20080531   15.557
260 20080630    16.37
260 20080731   17.935
260 20080831   17.277
260 20080930   13.493
260 20081031    9.964
260 20081130    6.736
260 20081231    2.331
260 20090131      .68
260 20090228     3.19
260 20090331    6.209
260 20090430    12.06
260 20090531   13.738
260 20090630   15.526
260 20090731   17.964
260 20090831   18.338
260 20090930   14.846
260 20091031   10.577
260 20091130    9.356
260 20091231    2.109
260 20100131    -.572
260 20100228    1.483
260 20100331    6.318
260 20100430    9.606
260 20100531   10.377
260 20100630   16.323
260 20100731   19.757
260 20100831    16.67
260 20100930   13.436
260 20101031   10.286
260 20101130     5.69
260 20101231   -1.262
260 20110131    3.402
260 20110228    4.462
260 20110331    5.931
260 20110430       13
260 20110531   13.857
260 20110630       16
260 20110731   15.773
260 20110831    16.77
260 20110930   15.523
260 20111031   11.302
260 20111130    7.073
260 20111231    6.364
260 20120131    4.764
260 20120229     .683
260 20120331    8.177
260 20120430    8.266
260 20120531   14.335
260 20120630    14.75
260 20120731   17.138
260 20120831   18.341
260 20120930   14.036
260 20121031   10.386
260 20121130    6.723
260 20121231    4.922
260 20130131    1.899
260 20130228    1.544
260 20130331    2.338
260 20130430     8.01
260 20130531   11.377
260 20130630   15.136
260 20130731   19.073
260 20130831   17.954
260 20130930    14.33
260 20131031   12.051
260 20131130    6.613
260 20131231    5.809
260 20140131    5.535
260 20140228    6.383
260 20140331    8.296
260 20140430   11.996
260 20140531   13.122
260 20140630   16.066
260 20140731   19.635
260 20140831   15.973
260 20140930   15.736
260 20141031   13.312
260 20141130    8.056
260 20141231    4.728
260 20150131    3.902
260 20150228    3.372
260 20150331    6.041
260 20150430    8.873
260 20150531   12.248
260 20150630   15.483
260 20150731   18.267
260 20150831   18.338
260 20150930   13.283
260 20151031    9.773
260 20151130    9.763
260 20151231    9.512
260 20160131    4.667
260 20160229    4.466
260 20160331    5.241
260 20160430    8.563
260 20160531   14.393
260 20160630   16.703
260 20160731   18.254
260 20160831   17.764
260 20160930   17.146
260 20161031     9.77
260 20161130    5.296
260 20161231    4.551
260 20170131    1.448
260 20170228    4.933
260 20170331    8.477
260 20170430     8.44
260 20170531   14.854
260 20170630   17.926
260 20170731   17.828
260 20170831   17.131
